0, "ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ БИОФАРМ", "ООО БИОФАРМ", 7704657395, 1077758672694, null, "71.20.1", "Испытания и анализ состава и чистоты материалов и веществ: анализ химических и биологических свойств материалов и веществ; испытания и анализ в области гигиены питания, включая ветеринарный контроль и контроль за производством продуктов питания"
1, "ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СЕРЕБРЯНЫЙ ВЕК", "ООО СЕРЕБРЯНЫЙ ВЕК", 7701962062, 1127746499077, "magicgold.ru", "32.12.4", "Обработка драгоценных, полудрагоценных, поделочных и синтетических камней, кроме алмазов и янтаря; производство изделий из полудрагоценных, поделочных и синтетических камней, кроме янтаря"
2, "ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ГЕОМАЙН", "ООО ГЕОМАЙН", 7709916773, 1127747163521, null, "23.9", "Производство абразивных и неметаллических минеральных изделий, не включенных в другие группировки"
3, "ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ВЕРМОЛИТ ПЛЮС", "ООО ВЕРМОЛИТ ПЛЮС", 7708670911, 1087746612216, null, "23.9", "Производство абразивных и неметаллических минеральных изделий, не включенных в другие группировки"
4, "ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ШЛИФОВАЛЬНЫЕ ИНСТРУМЕНТЫ", "ООО ШЛИФОВАЛЬНЫЕ ИНСТРУМЕНТЫ", 7703582997, 1067746327054, "www.hermes-abrasives.ru, www.shkurka.ru", "23.91", "Производство абразивных изделий"
5, "ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТЕХНОЛОГИЧЕСКИЙ ЦЕНТР АБРАЗИВНЫХ ПОРОШКОВ", "ООО ТЦ АБРАЗИВ", 7728249275, 1027739340507, null, "23.91", "Производство абразивных изделий"
6, "ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ДОКЕР", "ООО ДОКЕР", 7716706311, 5117746069062, null, "29.10.5", "Производство автомобилей специального назначения"
7, "ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КОМПАНИЯ ТЕЛЕМАШИНЫ", "ООО КОМПАНИЯ ТЕЛЕМАШИНЫ", 7716781862, 1147746896879, null, "29.10.5", "Производство автомобилей специального назначения"
8, "ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ БИ-ГРУПП", "ООО БИ-ГРУПП", 7703792183, 1137746540821, "autobigroup.ru", "29.10", "Производство автотранспортных средств"
9, "ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АВТОКОМПЛЕКТ", "АВТОКОМПЛЕКТ", 7725760259, 1127746493940, null, "29.1", "Производство автотранспортных средств"
10, "ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КАВАГ РУС", "ООО КАВАГ РУС", 7707707245, 1097746389091, null, "29.1", "Производство автотранспортных средств"
11, "ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЛАЙТМЕТ", "ООО ЛАЙТМЕТ", 7717586208, 5077746536335, null, "24.42", "Производство алюминия"
