0, "информационные технологии"
1, "разработка системы"
2, "современные материалы и технологии"
3, "разработка технологии упрочнения рабочих"
4, "разработка геоинформационного сервиса для обеспечения технологии"
5, "приборы и аппаратные комплексы"
6, "разработка технологии получения биодеградируемых влагоудерживающих полимерных композиций"
7, "создания"
8, "разработка технологии для получения порошков и ударопрочных стекол оксинитрида алюминия"
9, "разработка автоматического комплекса защиты банкоматов"
10, "разработка программного сервиса для автоматического контроля"
11, "разработка модульного бионического протеза руки"
12, "биотехнологии"
13, "разработка высокоэффективного модульного солнечного инвертора на gan транзисторах"
14, "разработка технологии производства лап культиватора с повышенной износостойкостью и сниженным сопротивлением обработки почв на основе высокопрочного чугуна"
15, "разработка комплексной технологии получения белковых и углеводных пищевых ингредиентов высокой степени очистки из гороха с применением ферментов"
16, "медицина будущего"
17, "разработка прецизионной системы мониторинга строительных объектов повышенного уровня ответственности"
18, "разработка инновационной клеточной терапии лечения суставных заболеваний в ветеринарной медицине"
19, "разработка автоматизированной системы регистрации и коммерциализации прав на результаты интеллектуальной деятельности ireg"
20, "разработка высокоэффективного трудновымываемого препарата для биозащиты деревянных опор линий электропередач и связи"
21, "разработка прозрачного стеклокристаллического материала повышенной прочности для защиты экранов мобильных устройств"
22, "разработка гемостатического препарата биомедицинского назначения на основе активных компонентов слизи кожи рыб"
23, "разработка гибридной системы ультразвукового и механического встраиваемого микроборудования для высокоэффективной индивидуальной гигиены полости рта"
24, "разработка универсальных инструментов для построения оптимальных интерфейсов интернет-сайтов и компонентов браузерных мессенджеров-коммуникаторов"
25, "разработка инверторного сварочного оборудования с системой цифрового дистанционного управления и мониторинга с возможностью интеграции в современное цифровое производство"
26, "технология получения и анализа сухих"
27, "интеллектуального анализа"
28, "аппаратного комплекса модульной архитектуры для мониторинга"
29, "создание гибкого программно"
30, "грануляторов для производства топливных гранул"
31, "отслеживания и анализа состояния и представленности продукции в торговых точках с использованием радио"
32, "биопрепарат на основе штаммов липофильных микроорганизмов для утилизации жировых отложений в очистных системах предприятий пищевой промышленности"
33, "биологических жидкостей для серологического контроля вакцинации сельскохозяйственной птицы"
34, "профилактики и лечения донозологических функциональных и биомеханических нарушений позвоночного столба в бытовых условиях"
35, "прогнозирования параметров и активной локализации и ликвидации производственных шумовых загрязнений в режимах близких"
36, "свойствами суперабсорбента"
37, "точного земледелия"
38, "машинный интерфейс для быстрого прототипирования роботизированных сервисов и автоматизации коммуникации с пользователями в текстовом формате"
39, "быстрая чистка зубов"
40, "одновременным снижением"
41, "аппаратной платформы для расширяемого конструктора мини-бпла для учебных заведений"
42, "молотковых дробилок"
43, "конструктор учетно-отчетных систем для взаимодействия между филиалами распределенных организаций"
44, "приспособления и методики"
45, "спектроскопическая система для определения диэлектрических свойств материалов"
46, "повышения эффективности землепользования в сельском хозяйстве"
47, "редут"
48, "частотной идентификации"
49, "токсичности и экологической опасности"
50, "огнезащитный минеральный однокомпонентный состав по металлу"
51, "клин"
52, "платформа для обучения детей программированию"
53, "твердая вода"
54, "автоматический автономный хроматограф-газоанализатор"
55, "независимыми организациями"
56, "каркас катушечного узла"
57, "плантогран - биогранулы для растений"
58, "getreport"
59, "кlen"
60, "функциональная кровать"
61, "botmother"
62, "палзекс"
63, "приборы и аппаратные комплексы"
64, "информационные технологии"
65, "современные материалы и технологии"
66, "разработка программного комплекса"
67, "разработка опытного образца"
68, "разработка технологии и компонентов для быстрого количественного определения прокальцитонина"
69, "разработка оборудования для профилирования физико"
70, "разработка устройств внутрикостного канюлирования"
71, "разработка линейки регулируемых вентильно"
72, "создания"
73, "разработка технологии и оборудования непрерывного производства композитной брусчатки на основе термомодифицированных вторичных ресурсов"
74, "разработка автоматизированной системы выбора оптимальных технико"
